index;smorfia;classes;;;;;;;;;
0;;background;;;;;;;;;
1;29;tench; Tinca tinca;;;;;;;;
2;32;goldfish; Carassius auratus;;;;;;;;
3;90;great white shark; white shark; man-eater; man-eating shark; Carcharodon carcharias;;;;;
4;90;tiger shark; Galeocerdo cuvieri;;;;;;;;
5;90;hammerhead; hammerhead shark;;;;;;;;
6;32;electric ray; crampfish; numbfish; torpedo;;;;;;
7;32;stingray;;;;;;;;;
8;29;cock;;;;;;;;;
9;75;hen;;;;;;;;;
10;35;ostrich; Struthio camelus;;;;;;;;
11;35;brambling; Fringilla montifringilla;;;;;;;;
12;35;goldfinch; Carduelis carduelis;;;;;;;;
13;35;house finch; linnet; Carpodacus mexicanus;;;;;;;
14;35;junco; snowbird;;;;;;;;
15;35;indigo bunting; indigo finch; indigo bird; Passerina cyanea;;;;;;
16;35;robin; American robin; Turdus migratorius;;;;;;;
17;35;bulbul;;;;;;;;;
18;35;jay;;;;;;;;;
19;35;magpie;;;;;;;;;
20;35;chickadee;;;;;;;;;
21;35;water ouzel; dipper;;;;;;;;
22;35;kite;;;;;;;;;
23;35;bald eagle; American eagle; Haliaeetus leucocephalus;;;;;;;
24;57;vulture;;;;;;;;;
25;57;great grey owl; great gray owl; Strix nebulosa;;;;;;;
26;32;European fire salamander; Salamandra salamandra;;;;;;;;
27;32;common newt; Triturus vulgaris;;;;;;;;
28;32;eft;;;;;;;;;
29;32;spotted salamander; Ambystoma maculatum;;;;;;;;
30;32;axolotl; mud puppy; Ambystoma mexicanum;;;;;;;
31;32;bullfrog; Rana catesbeiana;;;;;;;;
32;32;tree frog; tree-frog;;;;;;;;
33;32;tailed frog; bell toad; ribbed toad; tailed toad; Ascaphus trui;;;;;
34;89;loggerhead; loggerhead turtle; Caretta caretta;;;;;;;
35;89;leatherback turtle; leatherback; leathery turtle; Dermochelys coriacea;;;;;;
36;89;mud turtle;;;;;;;;;
37;89;terrapin;;;;;;;;;
38;89;box turtle; box tortoise;;;;;;;;
39;32;banded gecko;;;;;;;;;
40;32;common iguana; iguana; Iguana iguana;;;;;;;
41;32;American chameleon; anole; Anolis carolinensis;;;;;;;
42;32;whiptail; whiptail lizard;;;;;;;;
43;32;agama;;;;;;;;;
44;32;frilled lizard; Chlamydosaurus kingi;;;;;;;;
45;32;alligator lizard;;;;;;;;;
46;32;Gila monster; Heloderma suspectum;;;;;;;;
47;32;green lizard; Lacerta viridis;;;;;;;;
48;32;African chameleon; Chamaeleo chamaeleon;;;;;;;;
49;32;Komodo dragon; Komodo lizard; dragon lizard; giant lizard; Varanus komodoensis;;;;;
50;90;African crocodile; Nile crocodile; Crocodylus niloticus;;;;;;;
51;90;American alligator; Alligator mississipiensis;;;;;;;;
52;47;triceratops;;;;;;;;;
53;32;thunder snake; worm snake; Carphophis amoenus;;;;;;;
54;32;ringneck snake; ring-necked snake; ring snake;;;;;;;
55;32;hognose snake; puff adder; sand viper;;;;;;;
56;32;green snake; grass snake;;;;;;;;
57;32;king snake; kingsnake;;;;;;;;
58;32;garter snake; grass snake;;;;;;;;
59;32;water snake;;;;;;;;;
60;32;vine snake;;;;;;;;;
61;32;night snake; Hypsiglena torquata;;;;;;;;
62;32;boa constrictor; Constrictor constrictor;;;;;;;;
63;32;rock python; rock snake; Python sebae;;;;;;;
64;32;Indian cobra; Naja naja;;;;;;;;
65;32;green mamba;;;;;;;;;
66;32;sea snake;;;;;;;;;
67;32;horned viper; cerastes; sand viper; horned asp; Cerastes cornutus;;;;;
68;32;diamondback; diamondback rattlesnake; Crotalus adamanteus;;;;;;;
69;32;sidewinder; horned rattlesnake; Crotalus cerastes;;;;;;;
70;77;trilobite;;;;;;;;;
71;87;harvestman; daddy longlegs; Phalangium opilio;;;;;;;
72;90;scorpion;;;;;;;;;
73;87;black and gold garden spider; Argiope aurantia;;;;;;;;
74;87;barn spider; Araneus cavaticus;;;;;;;;
75;87;garden spider; Aranea diademata;;;;;;;;
76;90;black widow; Latrodectus mactans;;;;;;;;
77;90;tarantula;;;;;;;;;
78;87;wolf spider; hunting spider;;;;;;;;
79;87;tick;;;;;;;;;
80;87;centipede;;;;;;;;;
81;75;black grouse;;;;;;;;;
82;75;ptarmigan;;;;;;;;;
83;35;ruffed grouse; partridge; Bonasa umbellus;;;;;;;
84;35;prairie chicken; prairie grouse; prairie fowl;;;;;;;
85;64;peacock;;;;;;;;;
86;35;quail;;;;;;;;;
87;35;partridge;;;;;;;;;
88;35;African grey; African gray; Psittacus erithacus;;;;;;;
89;64;macaw;;;;;;;;;
90;64;sulphur-crested cockatoo; Kakatoe galerita; Cacatua galerita;;;;;;;
91;64;lorikeet;;;;;;;;;
92;35;coucal;;;;;;;;;
93;35;bee eater;;;;;;;;;
94;29;hornbill;;;;;;;;;
95;35;hummingbird;;;;;;;;;
96;35;jacamar;;;;;;;;;
97;29;toucan;;;;;;;;;
98;35;drake;;;;;;;;;
99;35;red-breasted merganser; Mergus serrator;;;;;;;;
100;35;goose;;;;;;;;;
101;35;black swan; Cygnus atratus;;;;;;;;
102;53;tusker;;;;;;;;;
103;71;echidna; spiny anteater; anteater;;;;;;;
104;22;platypus; duckbill; duckbilled platypus; duck-billed platypus; Ornithorhynchus anatinus;;;;;
105;11;wallaby; brush kangaroo;;;;;;;;
106;54;koala; koala bear; kangaroo bear; native bear; Phascolarctos cinereus;;;;;
107;11;wombat;;;;;;;;;
108;18;jellyfish;;;;;;;;;
109;12;sea anemone; anemone;;;;;;;;
110;12;brain coral;;;;;;;;;
111;66;flatworm; platyhelminth;;;;;;;;
112;66;nematode; nematode worm; roundworm;;;;;;;
113;88;conch;;;;;;;;;
114;11;snail;;;;;;;;;
115;7;slug;;;;;;;;;
116;7;sea slug; nudibranch;;;;;;;;
117;77;chiton; coat-of-mail shell; sea cradle; polyplacophore;;;;;;
118;88;chambered nautilus; pearly nautilus; nautilus;;;;;;;
119;77;Dungeness crab; Cancer magister;;;;;;;;
120;77;rock crab; Cancer irroratus;;;;;;;;
121;77;fiddler crab;;;;;;;;;
122;77;king crab; Alaska crab; Alaskan king crab; Alaska king crab; Paralithodes camtschatica;;;;;
123;23;American lobster; Northern lobster; Maine lobster; Homarus americanus;;;;;;
124;23;spiny lobster; langouste; rock lobster; crawfish; crayfish; sea crawfish;;;;
125;14;crayfish; crawfish; crawdad; crawdaddy;;;;;;
126;73;hermit crab;;;;;;;;;
127;3;isopod;;;;;;;;;
128;89;white stork; Ciconia ciconia;;;;;;;;
129;89;black stork; Ciconia nigra;;;;;;;;
130;15;spoonbill;;;;;;;;;
131;59;flamingo;;;;;;;;;
132;28;little blue heron; Egretta caerulea;;;;;;;;
133;28;American egret; great white heron; Egretta albus;;;;;;;
134;8;bittern;;;;;;;;;
135;6;crane;;;;;;;;;
136;15;limpkin; Aramus pictus;;;;;;;;
137;74;European gallinule; Porphyrio porphyrio;;;;;;;;
138;74;American coot; marsh hen; mud hen; water hen; Fulica americana;;;;;
139;15;bustard;;;;;;;;;
140;15;ruddy turnstone; Arenaria interpres;;;;;;;;
141;15;red-backed sandpiper; dunlin; Erolia alpina;;;;;;;
142;15;redshank; Tringa totanus;;;;;;;;
143;15;dowitcher;;;;;;;;;
144;73;oystercatcher; oyster catcher;;;;;;;;
145;6;pelican;;;;;;;;;
146;18;king penguin; Aptenodytes patagonica;;;;;;;;
147;15;albatross; mollymawk;;;;;;;;
